value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,2
23,5
24,7
25,19
26,31
27,41
28,66
29,91
30,111
31,123
32,146
33,191
34,235
35,316
36,348
37,434
38,517
39,648
40,708
41,774
42,889
43,948
44,998
45,1100
46,1184
47,1323
48,1458
49,1590
50,1780
51,1873
52,2067
53,2263
54,2541
55,2857
56,3009
57,3230
58,3380
59,3666
60,3913
61,4088
62,4389
63,4564
64,4672
65,4630
66,4711
67,4878
68,5059
69,5183
70,5674
71,5771
72,6000
73,6091
74,6308
75,6329
76,6361
77,6516
78,6780
79,6592
80,6808
81,6833
82,6854
83,6872
84,7094
85,7364
86,7587
87,7860
88,8096
89,8574
90,9211
91,9510
92,9725
93,9811
94,9775
95,9554
96,9387
97,9093
98,9098
99,9125
100,9399
101,9881
102,10068
103,10614
104,11089
105,11647
106,12116
107,12500
108,12566
109,12471
110,11872
111,11559
112,10835
113,10381
114,9979
115,10080
116,10171
117,10382
118,10846
119,11152
120,11716
121,12124
122,12292
123,12292
124,11850
125,11559
126,11048
127,10495
128,10216
129,9613
130,9619
131,9234
132,9302
133,9352
134,9702
135,9953
136,10414
137,10351
138,10342
139,10262
140,9616
141,9317
142,8682
143,8172
144,7525
145,7235
146,6942
147,7065
148,7073
149,7114
150,7241
151,7488
152,7519
153,7535
154,7674
155,7494
156,7079
157,6827
158,6311
159,5771
160,5380
161,5043
162,4708
163,4751
164,4552
165,4649
166,4553
167,4636
168,4752
169,4514
170,4330
171,4177
172,3991
173,3704
174,3439
175,3106
176,2987
177,2843
178,2637
179,2514
180,2576
181,2537
182,2504
183,2559
184,2524
185,2440
186,2497
187,2396
188,2292
189,2127
190,2038
191,1922
192,1848
193,1813
194,1697
195,1755
196,1686
197,1672
198,1730
199,1717
200,1752
201,1723
202,1646
203,1618
204,1515
205,1489
206,1382
207,1284
208,1206
209,1249
210,1059
211,1079
212,1074
213,926
214,933
215,841
216,679
217,457
218,251
219,161
220,63
221,57
222,46
223,19
224,11
225,8
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
