value,count
0,41
1,4
2,5
3,3
4,9
5,4
6,3
7,0
8,2
9,2
10,2
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,3
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,2
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,2
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,3
105,0
106,3
107,1
108,2
109,3
110,5
111,11
112,9
113,14
114,7
115,11
116,18
117,28
118,19
119,23
120,39
121,52
122,50
123,49
124,55
125,74
126,80
127,90
128,94
129,112
130,157
131,145
132,177
133,131
134,190
135,214
136,234
137,240
138,253
139,285
140,301
141,329
142,321
143,367
144,384
145,340
146,343
147,362
148,378
149,373
150,385
151,374
152,365
153,313
154,328
155,302
156,292
157,285
158,269
159,287
160,268
161,237
162,233
163,223
164,213
165,221
166,201
167,192
168,220
169,221
170,176
171,173
172,175
173,188
174,177
175,192
176,189
177,206
178,202
179,180
180,173
181,202
182,186
183,159
184,163
185,174
186,149
187,131
188,137
189,122
190,108
191,121
192,127
193,132
194,115
195,114
196,117
197,112
198,94
199,82
200,90
201,79
202,75
203,65
204,78
205,65
206,74
207,54
208,71
209,60
210,63
211,62
212,73
213,63
214,53
215,61
216,61
217,53
218,52
219,36
220,45
221,34
222,41
223,27
224,35
225,26
226,25
227,28
228,33
229,25
230,22
231,34
232,19
233,21
234,15
235,16
236,6
237,9
238,9
239,3
240,5
241,3
242,3
243,4
244,7
245,5
246,1
247,4
248,2
249,0
250,1
251,0
252,1
253,0
254,0
255,1
