value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,1
11,3
12,3
13,4
14,3
15,8
16,4
17,7
18,5
19,4
20,4
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,1
33,4
34,6
35,31
36,35
37,72
38,98
39,170
40,193
41,210
42,252
43,241
44,230
45,200
46,203
47,247
48,240
49,230
50,232
51,204
52,197
53,203
54,202
55,181
56,189
57,166
58,182
59,185
60,163
61,182
62,150
63,165
64,174
65,143
66,136
67,155
68,127
69,135
70,153
71,142
72,109
73,111
74,128
75,110
76,110
77,113
78,115
79,125
80,109
81,106
82,105
83,100
84,100
85,90
86,75
87,92
88,83
89,93
90,76
91,92
92,62
93,86
94,72
95,60
96,65
97,63
98,70
99,69
100,80
101,57
102,47
103,63
104,54
105,66
106,54
107,47
108,36
109,43
110,48
111,45
112,34
113,50
114,41
115,26
116,43
117,47
118,41
119,29
120,50
121,29
122,24
123,33
124,30
125,30
126,28
127,35
128,30
129,27
130,25
131,27
132,17
133,20
134,18
135,18
136,23
137,26
138,27
139,16
140,13
141,16
142,17
143,17
144,15
145,11
146,15
147,9
148,13
149,12
150,16
151,5
152,13
153,8
154,15
155,9
156,9
157,10
158,24
159,10
160,10
161,10
162,13
163,8
164,6
165,8
166,12
167,2
168,6
169,10
170,8
171,7
172,5
173,4
174,10
175,8
176,4
177,3
178,4
179,2
180,3
181,8
182,0
183,0
184,0
185,1
186,5
187,2
188,3
189,4
190,4
191,4
192,2
193,6
194,1
195,2
196,5
197,0
198,3
199,5
200,2
201,2
202,4
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
