value,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,6
42,8
43,5
44,11
45,11
46,12
47,21
48,14
49,17
50,22
51,21
52,19
53,27
54,31
55,25
56,29
57,26
58,20
59,26
60,27
61,26
62,41
63,42
64,59
65,50
66,38
67,54
68,68
69,69
70,62
71,73
72,78
73,80
74,92
75,93
76,87
77,90
78,89
79,84
80,93
81,92
82,97
83,92
84,88
85,91
86,75
87,91
88,82
89,82
90,75
91,79
92,78
93,85
94,63
95,60
96,73
97,55
98,51
99,50
100,45
101,37
102,39
103,33
104,41
105,34
106,30
107,23
108,19
109,19
110,17
111,15
112,20
113,16
114,11
115,6
116,11
117,11
118,13
119,8
120,11
121,5
122,5
123,6
124,6
125,7
126,6
127,2
128,3
129,10
130,5
131,2
132,5
133,3
134,2
135,2
136,9
137,2
138,2
139,2
140,3
141,4
142,2
143,3
144,3
145,4
146,3
147,3
148,5
149,5
150,2
151,4
152,3
153,8
154,6
155,2
156,5
157,3
158,6
159,7
160,7
161,6
162,5
163,6
164,3
165,3
166,10
167,3
168,2
169,5
170,4
171,3
172,4
173,4
174,4
175,3
176,1
177,6
178,9
179,5
180,5
181,5
182,11
183,7
184,6
185,5
186,4
187,3
188,5
189,8
190,1
191,4
192,5
193,4
194,5
195,5
196,4
197,8
198,3
199,8
200,3
201,6
202,2
203,8
204,5
205,4
206,4
207,4
208,6
209,1
210,7
211,6
212,5
213,4
214,4
215,3
216,5
217,6
218,7
219,4
220,4
221,9
222,13
223,10
224,7
225,6
226,8
227,5
228,13
229,3
230,10
231,5
232,6
233,5
234,9
235,4
236,5
237,9
238,8
239,4
240,4
241,7
242,8
243,8
244,6
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
